 time,function_level,stress_load,adaptive_response,threshold_proximity
1, 0.82384, 0.15562, 0.12300, 0.52164
2, 0.82721, 0.15655, 0.12300, 0.52329
3, 0.83011, 0.15749, 0.12300, 0.52497
4, 0.83254, 0.15843, 0.12300, 0.52666
5, 0.83449, 0.15937, 0.12300, 0.52837
6, 0.83597, 0.16031, 0.12300, 0.53010
7, 0.83697, 0.16125, 0.12300, 0.53185
8, 0.83749, 0.16220, 0.12300, 0.53362
9, 0.83753, 0.16315, 0.12300, 0.53540
10, 0.83708, 0.16410, 0.12300, 0.53721
11, 0.83614, 0.16506, 0.12300, 0.53903
12, 0.63576, 0.71867, 0.12300, 0.55193
13, 0.63244, 0.16841, 0.12300, 0.55382
14, 0.62861, 0.16938, 0.12300, 0.55574
15, 0.62429, 0.17035, 0.12300, 0.55767
16, 0.61946, 0.17132, 0.12300, 0.55962
17, 0.61413, 0.17229, 0.12300, 0.56159
18, 0.60829, 0.17327, 0.12300, 0.56358
19, 0.60193, 0.17424, 0.12300, 0.56559
20, 0.59506, 0.17523, 0.12300, 0.56761
21, 0.58768, 0.17621, 0.12300, 0.56966
22, 0.57978, 0.17720, 0.12300, 0.57173
23, 0.57135, 0.17818, 0.12300, 0.57382
24, 0.56240, 0.17918, 0.12300, 0.57592
25, 0.55293, 0.18017, 0.12300, 0.57805
26, 0.54292, 0.18117, 0.12300, 0.58020
27, 0.53239, 0.18217, 0.12300, 0.58237
28, 0.33752, 0.69371, 0.12300, 0.59477
29, 0.32462, 0.18550, 0.12300, 0.59700
30, 0.31118, 0.18651, 0.12300, 0.59925
31, 0.29719, 0.18752, 0.12300, 0.60153
32, 0.28265, 0.18854, 0.12300, 0.60382
33, 0.26757, 0.18956, 0.12300, 0.60614
34, 0.25193, 0.19058, 0.12300, 0.60847
35, 0.23573, 0.19160, 0.12300, 0.61083
36, 0.21898, 0.19263, 0.12300, 0.61321
37, 0.20167, 0.19366, 0.12300, 0.61560
38, 0.18379, 0.19469, 0.12300, 0.61802
39, 0.16535, 0.19572, 0.12300, 0.62046
40, 0.14634, 0.19676, 0.12300, 0.62292
41, 0.12676, 0.19780, 0.12300, 0.62540
42, 0.10660, 0.19884, 0.12300, 0.62790
43, 0.00000, 0.72963, 0.12300, 0.64102
44, 0.00000, 0.20231, 0.12300, 0.64359
45, 0.00000, 0.20337, 0.12300, 0.64618
46, 0.00000, 0.20442, 0.12300, 0.64879
47, 0.00000, 0.20548, 0.12300, 0.65142
48, 0.00000, 0.20655, 0.12300, 0.65408
49, 0.00000, 0.20761, 0.12300, 0.65675
50, 0.00000, 0.20868, 0.12300, 0.65945
51, 0.00000, 0.20975, 0.12300, 0.66217
52, 0.00000, 0.21082, 0.12300, 0.66491
53, 0.00000, 0.21190, 0.12300, 0.66767
54, 0.00000, 0.21298, 0.12300, 0.67046
55, 0.00000, 0.21406, 0.12300, 0.67326
56, 0.00000, 0.21514, 0.12300, 0.67609
57, 0.00000, 0.21623, 0.12300, 0.67894
58, 0.00000, 0.21732, 0.12300, 0.68181
59, 0.00000, 0.74204, 0.12300, 0.69517
60, 0.00000, 0.22087, 0.12300, 0.69811
61, 0.00000, 0.22197, 0.12300, 0.70108
62, 0.00000, 0.22308, 0.12300, 0.70406
63, 0.00000, 0.22419, 0.12300, 0.70707
64, 0.00000, 0.22530, 0.12300, 0.71010
65, 0.00000, 0.22641, 0.12300, 0.71315
66, 0.00000, 0.22753, 0.12300, 0.71623
67, 0.00000, 0.22865, 0.12300, 0.71933
68, 0.00000, 0.22977, 0.12300, 0.72244
69, 0.00000, 0.23090, 0.12300, 0.72559
70, 0.00000, 0.23203, 0.12300, 0.72875
71, 0.00000, 0.23316, 0.12300, 0.73194
72, 0.00000, 0.23429, 0.12300, 0.73515
73, 0.00000, 0.23543, 0.12300, 0.73838
74, 0.00000, 0.23657, 0.12300, 0.74164
75, 0.00000, 0.23771, 0.12300, 0.74491
76, 0.00000, 0.23886, 0.12300, 0.74822
77, 0.00000, 0.24001, 0.12300, 0.75154
78, 0.00000, 0.24116, 0.12300, 0.75489
79, 0.00000, 0.24232, 0.12300, 0.75826
80, 0.00000, 0.24347, 0.12300, 0.76165
