 time,institutional_function,stress_load,response_capacity,dependency_coupling
1, 1.00000, 0.16308, 0.45180, 0.77829
2, 1.00000, 0.16312, 0.45197, 0.77658
3, 1.00000, 0.16317, 0.45214, 0.77487
4, 1.00000, 0.16321, 0.45231, 0.77316
5, 1.00000, 0.16325, 0.45248, 0.77145
6, 1.00000, 0.16330, 0.45266, 0.76974
7, 1.00000, 0.16334, 0.45283, 0.76802
8, 1.00000, 0.16338, 0.45300, 0.76631
9, 1.00000, 0.16342, 0.45317, 0.76459
10, 1.00000, 0.16347, 0.45334, 0.76287
11, 1.00000, 0.16351, 0.45351, 0.76115
12, 1.00000, 0.83089, 0.45368, 0.77278
13, 1.00000, 0.16466, 0.45252, 0.77110
14, 1.00000, 0.16471, 0.45269, 0.76941
15, 1.00000, 0.16475, 0.45286, 0.76772
16, 1.00000, 0.16480, 0.45303, 0.76604
17, 1.00000, 0.16484, 0.45320, 0.76435
18, 1.00000, 0.16489, 0.45337, 0.76266
19, 1.00000, 0.16493, 0.45353, 0.76097
20, 1.00000, 0.16498, 0.45370, 0.75928
21, 1.00000, 0.16502, 0.45387, 0.75759
22, 1.00000, 0.16507, 0.45404, 0.75589
23, 1.00000, 0.16511, 0.45421, 0.75420
24, 1.00000, 0.16516, 0.45438, 0.75250
25, 1.00000, 0.16520, 0.45455, 0.75081
26, 1.00000, 0.16524, 0.45472, 0.74911
27, 1.00000, 0.16529, 0.45489, 0.74741
28, 1.00000, 0.16533, 0.45506, 0.74571
29, 1.00000, 0.16538, 0.45523, 0.74401
30, 1.00000, 0.16542, 0.45540, 0.74231
31, 1.00000, 0.16547, 0.45557, 0.74061
32, 1.00000, 0.16551, 0.45574, 0.73891
33, 1.00000, 0.16555, 0.45591, 0.73720
34, 1.00000, 0.16560, 0.45608, 0.73550
35, 1.00000, 0.16564, 0.45625, 0.73379
36, 1.00000, 0.16568, 0.45642, 0.73209
37, 1.00000, 0.16573, 0.45659, 0.73038
38, 1.00000, 0.16577, 0.45676, 0.72867
39, 1.00000, 0.16581, 0.45693, 0.72696
40, 1.00000, 0.16586, 0.45710, 0.72525
41, 1.00000, 0.16590, 0.45728, 0.72354
42, 1.00000, 0.16594, 0.45745, 0.72182
43, 1.00000, 0.16599, 0.45762, 0.72011
44, 1.00000, 0.16603, 0.45779, 0.71839
45, 1.00000, 0.16607, 0.45796, 0.71668
46, 1.00000, 0.16611, 0.45813, 0.71496
47, 1.00000, 0.16616, 0.45830, 0.71324
48, 1.00000, 0.16620, 0.45848, 0.71152
49, 1.00000, 0.16624, 0.45865, 0.70980
50, 1.00000, 0.16628, 0.45882, 0.70808
51, 1.00000, 0.16633, 0.45899, 0.70636
52, 1.00000, 0.16637, 0.45916, 0.70464
53, 1.00000, 0.16641, 0.45934, 0.70291
54, 1.00000, 0.16645, 0.45951, 0.70119
55, 1.00000, 0.16649, 0.45968, 0.69946
56, 1.00000, 0.16654, 0.45985, 0.69773
57, 1.00000, 0.16658, 0.46003, 0.69600
58, 1.00000, 0.16662, 0.46020, 0.69427
59, 1.00000, 0.16666, 0.46037, 0.69254
60, 1.00000, 0.16670, 0.46055, 0.69081
61, 1.00000, 0.16674, 0.46072, 0.68908
62, 1.00000, 0.16679, 0.46089, 0.68734
63, 1.00000, 0.16683, 0.46107, 0.68561
64, 1.00000, 0.16687, 0.46124, 0.68387
65, 1.00000, 0.16691, 0.46141, 0.68213
66, 1.00000, 0.16695, 0.46159, 0.68040
67, 1.00000, 0.16699, 0.46176, 0.67866
68, 1.00000, 0.16703, 0.46193, 0.67692
69, 1.00000, 0.16707, 0.46211, 0.67517
70, 1.00000, 0.16711, 0.46228, 0.67343
71, 1.00000, 0.16715, 0.46246, 0.67169
72, 1.00000, 0.16719, 0.46263, 0.66994
73, 1.00000, 0.16724, 0.46281, 0.66820
74, 1.00000, 0.16728, 0.46298, 0.66645
75, 1.00000, 0.16732, 0.46316, 0.66470
76, 1.00000, 0.16736, 0.46333, 0.66295
77, 1.00000, 0.16740, 0.46350, 0.66120
78, 1.00000, 0.16744, 0.46368, 0.65945
79, 1.00000, 0.16748, 0.46386, 0.65770
80, 1.00000, 0.16752, 0.46403, 0.65594
