scenario,pathway_id,pathway,system_domain,rank,viability_value,resource_pressure,implementation_burden,critical_function
Balanced,SR005,Ecosystem Restoration and Livelihood Diversification,social-ecological restoration,1,7.681,3.5,3.2,restores wetlands forests soils biodiversity and ecological buffers while supporting livelihood diversification
Balanced,SR004,Climate-Resilient Food and Water Strategy,food water and watershed resilience,2,7.638,3.9,3.4,protects food security water access soil health watersheds agricultural adaptation and rural livelihoods
Balanced,SR006,Public Health Housing and Heat Resilience Compact,health housing and climate justice,3,7.601,4.1,3.1,protects health housing cooling affordability care networks energy security and heat-resilience infrastructure
Balanced,SR003,Inclusive Urban Resilience Transition,urban adaptation and social inclusion,4,7.576,4.2,3.6,links housing transit heat adaptation stormwater public space affordability and anti-displacement safeguards
Balanced,SR002,Circular Regional Production System,circular economy and material resilience,5,7.516,3.7,3.3,reduces material throughput waste dependency and supply-chain fragility through repair reuse remanufacturing and local value creation
Balanced,SR001,Distributed Renewable Infrastructure,energy infrastructure and climate mitigation,6,7.414,4.0,3.5,decarbonizes essential energy systems while improving service continuity and reducing fossil-fuel dependency
Resilience-first,SR004,Climate-Resilient Food and Water Strategy,food water and watershed resilience,1,7.847,3.9,3.4,protects food security water access soil health watersheds agricultural adaptation and rural livelihoods
Resilience-first,SR005,Ecosystem Restoration and Livelihood Diversification,social-ecological restoration,2,7.811,3.5,3.2,restores wetlands forests soils biodiversity and ecological buffers while supporting livelihood diversification
Resilience-first,SR006,Public Health Housing and Heat Resilience Compact,health housing and climate justice,3,7.793,4.1,3.1,protects health housing cooling affordability care networks energy security and heat-resilience infrastructure
Resilience-first,SR003,Inclusive Urban Resilience Transition,urban adaptation and social inclusion,4,7.699,4.2,3.6,links housing transit heat adaptation stormwater public space affordability and anti-displacement safeguards
Resilience-first,SR001,Distributed Renewable Infrastructure,energy infrastructure and climate mitigation,5,7.63,4.0,3.5,decarbonizes essential energy systems while improving service continuity and reducing fossil-fuel dependency
Resilience-first,SR002,Circular Regional Production System,circular economy and material resilience,6,7.607,3.7,3.3,reduces material throughput waste dependency and supply-chain fragility through repair reuse remanufacturing and local value creation
Ecology-first,SR005,Ecosystem Restoration and Livelihood Diversification,social-ecological restoration,1,7.961,3.5,3.2,restores wetlands forests soils biodiversity and ecological buffers while supporting livelihood diversification
Ecology-first,SR002,Circular Regional Production System,circular economy and material resilience,2,7.782,3.7,3.3,reduces material throughput waste dependency and supply-chain fragility through repair reuse remanufacturing and local value creation
Ecology-first,SR004,Climate-Resilient Food and Water Strategy,food water and watershed resilience,3,7.772,3.9,3.4,protects food security water access soil health watersheds agricultural adaptation and rural livelihoods
Ecology-first,SR003,Inclusive Urban Resilience Transition,urban adaptation and social inclusion,4,7.599,4.2,3.6,links housing transit heat adaptation stormwater public space affordability and anti-displacement safeguards
Ecology-first,SR006,Public Health Housing and Heat Resilience Compact,health housing and climate justice,5,7.593,4.1,3.1,protects health housing cooling affordability care networks energy security and heat-resilience infrastructure
Ecology-first,SR001,Distributed Renewable Infrastructure,energy infrastructure and climate mitigation,6,7.555,4.0,3.5,decarbonizes essential energy systems while improving service continuity and reducing fossil-fuel dependency
Inclusion-first,SR006,Public Health Housing and Heat Resilience Compact,health housing and climate justice,1,7.897,4.1,3.1,protects health housing cooling affordability care networks energy security and heat-resilience infrastructure
Inclusion-first,SR003,Inclusive Urban Resilience Transition,urban adaptation and social inclusion,2,7.829,4.2,3.6,links housing transit heat adaptation stormwater public space affordability and anti-displacement safeguards
Inclusion-first,SR005,Ecosystem Restoration and Livelihood Diversification,social-ecological restoration,3,7.759,3.5,3.2,restores wetlands forests soils biodiversity and ecological buffers while supporting livelihood diversification
Inclusion-first,SR004,Climate-Resilient Food and Water Strategy,food water and watershed resilience,4,7.691,3.9,3.4,protects food security water access soil health watersheds agricultural adaptation and rural livelihoods
Inclusion-first,SR002,Circular Regional Production System,circular economy and material resilience,5,7.555,3.7,3.3,reduces material throughput waste dependency and supply-chain fragility through repair reuse remanufacturing and local value creation
Inclusion-first,SR001,Distributed Renewable Infrastructure,energy infrastructure and climate mitigation,6,7.448,4.0,3.5,decarbonizes essential energy systems while improving service continuity and reducing fossil-fuel dependency
Governance-first,SR005,Ecosystem Restoration and Livelihood Diversification,social-ecological restoration,1,7.707,3.5,3.2,restores wetlands forests soils biodiversity and ecological buffers while supporting livelihood diversification
Governance-first,SR003,Inclusive Urban Resilience Transition,urban adaptation and social inclusion,2,7.699,4.2,3.6,links housing transit heat adaptation stormwater public space affordability and anti-displacement safeguards
Governance-first,SR004,Climate-Resilient Food and Water Strategy,food water and watershed resilience,3,7.691,3.9,3.4,protects food security water access soil health watersheds agricultural adaptation and rural livelihoods
Governance-first,SR006,Public Health Housing and Heat Resilience Compact,health housing and climate justice,4,7.689,4.1,3.1,protects health housing cooling affordability care networks energy security and heat-resilience infrastructure
Governance-first,SR002,Circular Regional Production System,circular economy and material resilience,5,7.555,3.7,3.3,reduces material throughput waste dependency and supply-chain fragility through repair reuse remanufacturing and local value creation
Governance-first,SR001,Distributed Renewable Infrastructure,energy infrastructure and climate mitigation,6,7.448,4.0,3.5,decarbonizes essential energy systems while improving service continuity and reducing fossil-fuel dependency
Adaptation-first,SR005,Ecosystem Restoration and Livelihood Diversification,social-ecological restoration,1,7.645,3.5,3.2,restores wetlands forests soils biodiversity and ecological buffers while supporting livelihood diversification
Adaptation-first,SR004,Climate-Resilient Food and Water Strategy,food water and watershed resilience,2,7.571,3.9,3.4,protects food security water access soil health watersheds agricultural adaptation and rural livelihoods
Adaptation-first,SR003,Inclusive Urban Resilience Transition,urban adaptation and social inclusion,3,7.497,4.2,3.6,links housing transit heat adaptation stormwater public space affordability and anti-displacement safeguards
Adaptation-first,SR006,Public Health Housing and Heat Resilience Compact,health housing and climate justice,4,7.467,4.1,3.1,protects health housing cooling affordability care networks energy security and heat-resilience infrastructure
Adaptation-first,SR002,Circular Regional Production System,circular economy and material resilience,5,7.395,3.7,3.3,reduces material throughput waste dependency and supply-chain fragility through repair reuse remanufacturing and local value creation
Adaptation-first,SR001,Distributed Renewable Infrastructure,energy infrastructure and climate mitigation,6,7.356,4.0,3.5,decarbonizes essential energy systems while improving service continuity and reducing fossil-fuel dependency
Constraint-sensitive,SR005,Ecosystem Restoration and Livelihood Diversification,social-ecological restoration,1,6.388,3.5,3.2,restores wetlands forests soils biodiversity and ecological buffers while supporting livelihood diversification
Constraint-sensitive,SR004,Climate-Resilient Food and Water Strategy,food water and watershed resilience,2,6.295,3.9,3.4,protects food security water access soil health watersheds agricultural adaptation and rural livelihoods
Constraint-sensitive,SR006,Public Health Housing and Heat Resilience Compact,health housing and climate justice,3,6.237,4.1,3.1,protects health housing cooling affordability care networks energy security and heat-resilience infrastructure
Constraint-sensitive,SR002,Circular Regional Production System,circular economy and material resilience,4,6.216,3.7,3.3,reduces material throughput waste dependency and supply-chain fragility through repair reuse remanufacturing and local value creation
Constraint-sensitive,SR003,Inclusive Urban Resilience Transition,urban adaptation and social inclusion,5,6.203,4.2,3.6,links housing transit heat adaptation stormwater public space affordability and anti-displacement safeguards
Constraint-sensitive,SR001,Distributed Renewable Infrastructure,energy infrastructure and climate mitigation,6,6.086,4.0,3.5,decarbonizes essential energy systems while improving service continuity and reducing fossil-fuel dependency
Implementation-aware,SR005,Ecosystem Restoration and Livelihood Diversification,social-ecological restoration,1,6.871,3.5,3.2,restores wetlands forests soils biodiversity and ecological buffers while supporting livelihood diversification
Implementation-aware,SR004,Climate-Resilient Food and Water Strategy,food water and watershed resilience,2,6.812,3.9,3.4,protects food security water access soil health watersheds agricultural adaptation and rural livelihoods
Implementation-aware,SR006,Public Health Housing and Heat Resilience Compact,health housing and climate justice,3,6.799,4.1,3.1,protects health housing cooling affordability care networks energy security and heat-resilience infrastructure
Implementation-aware,SR003,Inclusive Urban Resilience Transition,urban adaptation and social inclusion,4,6.742,4.2,3.6,links housing transit heat adaptation stormwater public space affordability and anti-displacement safeguards
Implementation-aware,SR002,Circular Regional Production System,circular economy and material resilience,5,6.711,3.7,3.3,reduces material throughput waste dependency and supply-chain fragility through repair reuse remanufacturing and local value creation
Implementation-aware,SR001,Distributed Renewable Infrastructure,energy infrastructure and climate mitigation,6,6.597,4.0,3.5,decarbonizes essential energy systems while improving service continuity and reducing fossil-fuel dependency
